id,nombre,tipo,artesano,imagen_url,imagen_alt,precio,lugar_fabricacion,descripcion,talla,
1,"Blusa bordada blanca","Ropa","Victoria Machorro",./images/blusabordada2.png,"blusa",800,"Puebla","Esta blusa blanca resalta por sus intrincados bordados, creando un diseño único y femenino. La combinación de la sencillez del blanco con la complejidad del bordado la convierte en una prenda versátil y elegante",
2,"Blusa bordada cuello V","Ropa","Victoria Machorro",./images/blusabordada3.png,"blusa",680,"Puebla","Una blusa de cuello en V con exquisitos bordados que le añaden un toque distintivo. Perfecta para ocasiones informales o para realzar tu estilo casual con un toque de la artesanía mexicana.".
3,"Huipil bordado","Ropa","Victoria Machorro", ./images/huipil.png,"huipil",870,"Puebla","El huipil bordado es una pieza tradicional mexicana que destaca por sus colores vibrantes y bordados detallados. Esta prenda representa la conexión con la cultura indígena y es una obra de arte portátil.".
4,"Vestido bordado","Ropa","Victoria Machorro", ./images/huipildama.png,"huipil",875,"Puebla","Un vestido encantador con bordados que cuentan historias. La fusión de la elegancia y la artesanía mexicana hacen de este vestido una elección única para ocasiones especiales.".
5,"Vestido bordado juvenil","Ropa","Victoria Machorro", ./images/vestidobordado1.png,"vestido",858,"Puebla","Este vestido juvenil destaca por su diseño fresco y moderno, combinado con bordados que reflejan la tradición. Perfecto para eventos casuales con un toque distintivo.".
6,"Camisa bordada infantil","Ropa","Victoria Machorro", ./images/camisaniño.png,"camisa",680,"Puebla","Una camisa infantil adornada con bordados alegres y coloridos. Ideal para vestir a los más pequeños con estilo y resaltar la riqueza de la artesanía mexicana desde temprana edad.".
7,"Huipil infantil","Ropa","Victoria Machorro",./images/huipilniña.png,"huipil",650,"Puebla","El huipil infantil refleja la dulzura y la autenticidad de la artesanía mexicana. Un atuendo especial para los más pequeños, lleno de detalles que capturan la esencia de la cultura.".
8,"Camisa infantil bordada con botones","Ropa","Victoria Machorro",./images/camisaniño2.png,"camisa",650,"Puebla","Una encantadora camisa infantil con bordados y botones que añaden un toque juguetón. Perfecta para ocasiones especiales y para que los niños lleven consigo la herencia cultural desde temprana edad.".  
9,"Camisa bordada","Ropa","Victoria Machorro",./images/camisahombre.png,"camisa",765,"Puebla","Una camisa para hombre con detalles bordados que le otorgan un toque único y sofisticado. Perfecta para aquellos que desean incorporar la artesanía mexicana en su vestimenta diaria.".
10,"Camisa bordada","Ropa","Victoria Machorro",./images/camisahombre3.png,"camisa",765,"Puebla","Otra opción de camisa para hombre, destacando por sus bordados cuidadosamente elaborados. Un equilibrio entre lo moderno y lo tradicional.".
11,"Camisa bordada","Ropa","Victoria Machorro",./images/camisahombre2.png,"camisa",765,"Puebla","Una camisa que fusiona la elegancia con la tradición, gracias a sus bordados detallados. Una elección distinguida para quienes aprecian la artesanía mexicana en su vestimenta.".
12,"Camisa bordada","Ropa","Victoria Machorro",./images/camisaMangaLarga.png,"camisa",800,"Puebla","Camisa manga larga de cabellero con bordados preciosos mexicanos".
13,"Sarape","Ropa","José Xahuentitla Palacios",./images/ponchoSarape.png,"sarape",1200, "Tlaxcala", "Prenda colorida y artesanal que fusiona patrones vibrantes con una rica tradición cultural, destacando por su estética única y comodidad".
14,"Sarape","Ropa","José Xahuentitla Palacios",./images/ponchoSarape2.png,"sarape",1200, "Tlaxcala", "Prenda colorida y artesanal que fusiona patrones vibrantes con una rica tradición cultural, destacando por su estética única y comodidad".
15,"Sarape largo","Ropa","José Xahuentitla Palacios",./images/ponchoSarape1.png,"sarape",1200, "Tlaxcala", "Prenda colorida y artesanal que fusiona patrones vibrantes con una rica tradición cultural, destacando por su estética única y comodidad".
16,"Sarape corto","Ropa","José Xahuentitla Palacios",./images/ponchoSarape3.png,"sarape",1200, "Tlaxcala", "Prenda colorida y artesanal que fusiona patrones vibrantes con una rica tradición cultural, destacando por su estética única y comodidad".
17,"Blusa Bordada","Ropa","Huitzilli Burgos",./images/blusaOaxaca3.png,"blusaBordada",1300,"Oaxaca","Exquisita blusa artesanal oaxaqueña bordada a mano reflejando la tradición y destreza cultural de la región con sus detalles vibrantes y cómodos.".
18,"Blusa bordada","Ropa","Huitzilli Burgos",./images/blusaOaxaca2.png, "blusa",1100,"Oaxaca","Elegante huipil oaxaqueño con un diseño floral cautivador, creado con esmero que celebra la artesanía y la herencia cultural de Oaxaca.".
19,"Blusa oaxaqueña","Ropa","Huitzilli Burgos",./images/blusaOaxaca.png,"blusal",1500,"Oaxaca","Espléndido vestido tradicional oaxaqueño, confeccionado a mano fusionando elegancia y tradición en cada puntada para resaltar la belleza y autenticidad de la ropa artesanal mexicana.".
20,"Blusa Bordada","Ropa","Huitzilli Burgos",./images/blusaOaxaca1.png,"blusaBordada",1300,"Oaxaca","Exquisita blusa artesanal oaxaqueña bordada a mano  reflejando la tradición y destreza cultural de la región con sus detalles vibrantes y cómodos.".